Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
1,Steven Adams\adamsst01,C,26,OKC,58,58,1564,8.2,13.8,.591,0.0,0.1,.333,8.1,13.7,.593,3.4,5.7,.590,6.1,10.8,16.9,4.4,1.6,2.0,2.7,3.5,19.7,,123,106
2,Bam Adebayo\adebaba01,PF,22,MIA,65,65,2235,8.9,15.7,.567,0.0,0.3,.077,8.9,15.5,.576,5.2,7.5,.690,3.6,11.3,15.0,7.3,1.7,1.9,4.0,3.6,23.1,,117,106
3,LaMarcus Aldridge\aldrila01,C,34,SAS,53,53,1754,10.7,21.7,.493,1.7,4.3,.389,9.0,17.4,.519,4.3,5.2,.827,2.8,7.9,10.7,3.5,1.0,2.4,2.0,3.5,27.4,,115,113
4,Nickeil Alexander-Walker\alexani01,SG,21,NOP,41,0,501,7.1,20.9,.339,3.7,10.8,.342,3.4,10.1,.336,1.6,2.6,.607,0.7,6.6,7.4,6.8,1.0,0.6,3.7,4.2,19.5,,91,113
5,Grayson Allen\allengr01,SG,24,MEM,30,0,498,7.4,16.5,.449,3.1,8.5,.363,4.3,8.0,.541,2.8,3.3,.857,0.5,5.7,6.2,4.0,0.6,0.1,2.2,3.4,20.7,,111,115
6,Jarrett Allen\allenja01,C,21,BRK,64,58,1647,7.7,11.9,.646,0.0,0.1,.000,7.7,11.8,.654,4.2,6.8,.620,5.6,11.8,17.4,2.4,1.1,2.4,2.1,4.1,19.6,,130,105
7,Kadeem Allen\allenka01,SG,27,NYK,10,0,117,7.9,18.3,.432,2.1,6.7,.313,5.8,11.7,.500,2.9,4.6,.636,0.8,2.9,3.7,8.7,2.1,0.8,3.3,2.9,20.8,,106,114
8,Al-Farouq Aminu\aminual01,PF,29,ORL,18,2,380,3.2,11.0,.291,1.2,4.6,.250,2.1,6.4,.320,2.4,3.7,.655,3.1,8.1,11.2,2.7,2.3,1.0,2.2,3.5,10.0,,88,107
9,Justin Anderson\anderju01,SF,26,BRK,3,0,17,2.8,16.7,.167,0.0,8.4,.000,2.8,8.4,.333,2.8,5.6,.500,0.0,5.6,5.6,0.0,0.0,2.8,0.0,5.6,8.4,,50,110
10,Kyle Anderson\anderky01,PF,26,MEM,59,20,1140,5.7,11.5,.493,0.7,2.5,.258,5.0,8.9,.560,1.8,2.7,.652,2.2,8.3,10.5,5.4,1.9,1.3,2.3,3.5,13.7,,111,109
11,Ryan Anderson\anderry01,PF,31,HOU,2,0,14,6.6,23.2,.286,3.3,16.6,.200,3.3,6.6,.500,0.0,0.0,,0.0,23.2,23.2,6.6,3.3,0.0,3.3,3.3,16.6,,78,98
12,Giannis Antetokounmpo\antetgi01,PF,25,MIL,57,57,1763,16.2,29.5,.547,2.2,7.0,.306,14.0,22.5,.622,9.4,14.8,.633,3.4,16.9,20.3,8.5,1.5,1.5,5.4,4.5,43.8,,116,96
13,Kostas Antetokounmpo\antetko01,PF,22,LAL,3,0,5,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,9.5,9.5,9.5,0.0,0.0,0.0,0.0,0.0,,226,110
14,Thanasis Antetokounmpo\antetth01,SF,27,MIL,18,2,93,9.3,17.7,.528,0.0,3.4,.000,9.3,14.3,.655,3.4,7.4,.467,5.4,3.9,9.3,4.4,2.9,1.0,5.4,6.4,22.1,,99,101
15,Carmelo Anthony\anthoca01,PF,35,POR,50,50,1623,8.5,19.9,.426,2.1,5.7,.371,6.4,14.2,.447,3.3,3.9,.843,1.8,7.4,9.2,2.3,1.2,0.7,2.6,4.2,22.4,,102,115
16,OG Anunoby\anunoog01,SF,22,TOR,63,62,1897,6.7,13.3,.507,2.1,5.4,.381,4.7,7.8,.593,1.5,2.2,.686,1.9,6.7,8.6,2.5,2.2,1.1,1.9,3.9,17.0,,113,104
17,Ryan Arcidiacono\arcidry01,PG,25,CHI,58,4,930,4.7,11.4,.409,2.8,7.1,.391,1.9,4.2,.439,1.4,2.0,.711,1.0,4.7,5.7,5.0,1.4,0.2,1.9,5.0,13.5,,111,113
18,Trevor Ariza\arizatr01,SF,34,TOT,53,21,1493,4.6,10.5,.438,2.5,6.7,.372,2.1,3.8,.556,2.0,2.4,.838,1.1,6.9,7.9,2.9,2.2,0.5,1.8,3.6,13.7,,114,112
18,Trevor Ariza\arizatr01,SF,34,SAC,32,0,791,3.9,10.2,.388,2.7,7.5,.352,1.3,2.7,.488,1.3,1.7,.778,1.3,7.7,9.0,3.1,2.2,0.4,1.7,3.9,11.8,,108,110
18,Trevor Ariza\arizatr01,SF,34,POR,21,21,702,5.3,10.8,.491,2.3,5.8,.400,3.0,5.0,.595,2.8,3.2,.872,0.9,5.9,6.8,2.8,2.3,0.5,1.9,3.3,15.7,,121,113
19,D.J. Augustin\augusdj01,PG,32,ORL,49,6,1215,6.3,15.9,.393,2.4,7.0,.345,3.9,9.0,.430,5.6,6.3,.885,0.7,3.7,4.4,9.0,1.2,0.0,2.8,2.1,20.5,,114,114
20,Deandre Ayton\aytonde01,C,21,PHO,30,25,996,12.1,22.1,.548,0.0,0.1,.000,12.1,22.0,.552,2.9,3.7,.769,5.8,11.3,17.1,2.7,1.0,2.4,3.4,4.6,27.1,,110,108
21,Dwayne Bacon\bacondw01,SG,24,CHO,39,11,687,6.2,17.8,.348,1.4,4.9,.284,4.8,12.9,.373,2.6,3.9,.660,1.1,6.2,7.3,3.8,1.7,0.1,2.7,3.8,16.3,,86,114
22,Marvin Bagley III\baglema01,PF,20,SAC,13,6,334,11.4,24.4,.467,0.6,3.2,.182,10.8,21.2,.510,3.7,4.5,.806,4.2,9.9,14.2,1.5,0.9,1.8,2.6,6.3,27.0,,102,110
23,Lonzo Ball\balllo01,PG,22,NOP,56,47,1817,6.6,16.0,.412,3.5,9.2,.383,3.1,6.7,.453,1.0,1.7,.567,1.6,7.2,8.8,10.0,2.0,0.8,4.4,2.8,17.7,,105,111
24,Mo Bamba\bambamo01,C,21,ORL,60,0,868,7.4,15.9,.468,2.1,5.8,.356,5.3,10.0,.534,1.7,2.6,.674,5.5,11.3,16.8,2.4,1.2,4.8,2.4,6.5,18.7,,111,103
25,J.J. Barea\bareajo01,PG,35,DAL,26,4,391,9.2,22.2,.413,3.6,9.4,.382,5.6,12.8,.437,2.1,2.2,.944,1.2,4.7,5.9,12.3,0.5,0.2,4.3,3.1,24.0,,110,115
26,Harrison Barnes\barneha02,PF,27,SAC,64,64,2231,7.1,15.5,.459,2.0,5.3,.383,5.1,10.2,.498,4.3,5.3,.803,1.3,5.4,6.7,3.3,0.8,0.2,1.7,1.8,20.6,,116,115
27,RJ Barrett\barrerj01,SG,19,NYK,56,55,1704,8.3,20.8,.402,1.8,5.6,.320,6.5,15.1,.432,4.5,7.3,.614,1.4,6.5,8.0,4.1,1.6,0.5,3.5,3.5,22.9,,95,114
28,Will Barton\bartowi01,SF,29,DEN,58,58,1916,8.6,19.0,.450,2.8,7.4,.375,5.8,11.6,.498,2.6,3.4,.767,2.0,7.4,9.4,5.5,1.6,0.7,2.3,3.1,22.5,,112,110
29,Keita Bates-Diop\bateske01,SF,24,TOT,39,0,665,6.2,14.5,.428,2.2,6.6,.330,4.1,8.0,.509,3.4,4.8,.710,1.5,6.4,7.8,2.1,1.2,1.5,1.0,2.7,18.0,,112,113
29,Keita Bates-Diop\bateske01,SF,24,MIN,37,0,646,6.3,14.8,.422,2.2,6.8,.330,4.0,8.0,.500,3.3,4.7,.708,1.5,6.4,7.9,2.2,1.2,1.4,1.0,2.6,18.0,,111,113
29,Keita Bates-Diop\bateske01,SF,24,DEN,2,0,19,5.2,5.2,1.000,0.0,0.0,,5.2,5.2,1.000,7.8,10.4,.750,0.0,5.2,5.2,0.0,0.0,2.6,0.0,5.2,18.2,,193,112
